time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T16:34:57.050Z,40.1443333,-122.1635,27.65,1.68,md,8,195,0.07033,0.14,nc,nc73108396,2018-11-08T18:28:03.546Z,"7km ESE of Red Bluff, CA",earthquake,2.45,0.96,0.117,10,reviewed,nc,nc
2018-11-08T16:07:54.400Z,-57.5419,-66.0208,10,4.9,mb,,127,2.766,0.83,us,us1000hpan,2018-11-08T17:46:28.040Z,"Drake Passage",earthquake,7.8,1.8,0.08,51,reviewed,us,us
2018-11-08T16:00:56.341Z,62.3166,-151.6158,90.1,2.2,ml,,,,0.61,ak,ak20335770,2018-11-08T16:04:22.044Z,"78km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-08T16:00:29.535Z,38.3795,-118.8955,8.2,1.1,ml,12,80.09,0.128,0.2012,nn,nn00664714,2018-11-08T16:58:39.767Z,"28km SW of Hawthorne, Nevada",earthquake,,2.5,0.42,5,reviewed,nn,nn
2018-11-08T15:01:42.620Z,34.048,-116.8605,10.64,1.34,ml,41,69,0.04561,0.11,ci,ci38354192,2018-11-08T18:56:58.690Z,"14km N of Banning, CA",earthquake,0.15,0.44,0.112,20,reviewed,ci,ci
2018-11-08T15:01:09.150Z,37.7212,70.1876,19.98,4.6,mb,,49,0.843,0.92,us,us1000hp9v,2018-11-08T16:51:58.040Z,"41km ESE of Kulob, Tajikistan",earthquake,4.1,6.4,0.101,34,reviewed,us,us
2018-11-08T14:47:05.348Z,64.7649,-149.2083,21,1.6,ml,,,,0.49,ak,ak20335584,2018-11-08T14:54:07.603Z,"21km NNW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T14:46:17.770Z,11.4445,139.0743,48.92,4.7,mb,,174,15.733,1.38,us,us1000hp9t,2018-11-08T15:01:33.040Z,"225km NNE of Rumung, Micronesia",earthquake,14.6,11.2,0.106,27,reviewed,us,us
2018-11-08T14:35:47.270Z,19.0008333,-154.7688333,20.65,1.94,md,41,289,0.4741,0.12,hv,hv70679286,2018-11-08T18:42:42.300Z,"53km SSE of Leilani Estates, Hawaii",earthquake,0.8,6.47,0.12,19,reviewed,hv,hv
2018-11-08T14:04:34.567Z,39.4702,-120.3379,5.3,1.3,ml,12,176.39,0.048,0.1717,nn,nn00664725,2018-11-08T17:41:50.478Z,"20km NW of Truckee, California",earthquake,,1.3,0.46,3,reviewed,nn,nn
2018-11-08T13:45:28.410Z,19.315,-155.22,4.08,2.34,ml,40,80,0.03388,0.11,hv,hv70679236,2018-11-08T19:13:34.960Z,"12km S of Volcano, Hawaii",earthquake,0.25,1.16,0.207,31,reviewed,hv,hv
2018-11-08T13:42:34.180Z,19.1618328,-155.4790039,31.99,1.93,md,47,113,0.01719,0.11,hv,hv70679231,2018-11-08T13:45:58.050Z,"4km S of Pahala, Hawaii",earthquake,0.58,0.81,0.08,4,automatic,hv,hv
2018-11-08T13:40:16.490Z,-2.921,119.4183,21.27,5.2,mb,,56,2.105,1.14,us,us1000hp94,2018-11-08T13:52:55.040Z,"5km ENE of Mamasa, Indonesia",earthquake,6.2,5.6,0.09,40,reviewed,us,us
2018-11-08T13:40:02.680Z,44.7798333,-111.139,10.98,1.34,ml,11,110,0.05003,0.17,uu,uu60303907,2018-11-08T20:02:21.480Z,"13km NNW of West Yellowstone, Montana",earthquake,0.49,0.9,0.125,3,reviewed,uu,uu
2018-11-08T13:24:13.129Z,64.9029,-148.9872,22.2,1.2,ml,,,,0.32,ak,ak20335493,2018-11-08T13:31:41.969Z,"36km N of North Nenana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-08T12:37:39.800Z,33.7065,-116.7393333,15.71,1.19,ml,48,31,0.02149,0.18,ci,ci38354072,2018-11-08T14:20:41.140Z,"4km SSW of Idyllwild, CA",earthquake,0.2,0.38,0.171,26,reviewed,ci,ci
2018-11-08T12:34:40.230Z,33.7815,-116.1345,7.97,1.76,ml,55,73,0.07406,0.15,ci,ci38354064,2018-11-08T18:32:31.640Z,"10km NE of Indio, CA",earthquake,0.14,0.59,0.135,21,reviewed,ci,ci
2018-11-08T12:34:24.990Z,33.7823333,-116.1358333,7.46,1.59,ml,51,75,0.0728,0.14,ci,ci38354056,2018-11-08T18:45:43.370Z,"10km NE of Indio, CA",earthquake,0.17,0.45,0.165,23,reviewed,ci,ci
2018-11-08T12:22:17.459Z,65.1848,-149.043,11.3,1.4,ml,,,,0.55,ak,ak20335489,2018-11-08T12:27:07.099Z,"61km NW of Ester, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-08T12:17:54.088Z,62.5059,-149.1283,42.9,1.9,ml,,,,0.82,ak,ak20335485,2018-11-08T12:23:42.861Z,"53km NE of Y, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-08T11:55:49.770Z,38.822834,-122.8030014,0.48,1.05,md,10,90,0.005553,0.09,nc,nc73108336,2018-11-08T12:16:02.228Z,"6km NW of The Geysers, CA",earthquake,0.31,0.92,0.02,2,automatic,nc,nc
2018-11-08T11:50:39.530Z,33.0351667,-116.4395,6.15,1.07,ml,52,48,0.04203,0.17,ci,ci38354048,2018-11-08T20:58:37.840Z,"16km ESE of Julian, CA",earthquake,0.17,0.44,0.134,25,reviewed,ci,ci
2018-11-08T11:49:24.990Z,36.958,-121.577,6.57,1.28,md,20,77,0.004859,0.09,nc,nc73108331,2018-11-08T19:10:02.601Z,"5km S of Gilroy, CA",earthquake,0.25,1.01,0.148,16,reviewed,nc,nc
2018-11-08T11:26:26.110Z,38.8154984,-122.7616653,1.38,1.12,md,15,97,0.01503,0.04,nc,nc73108321,2018-11-08T12:30:03.303Z,"3km WSW of Cobb, CA",earthquake,0.28,0.35,0.08,2,automatic,nc,nc
2018-11-08T11:20:03.930Z,35.4281667,-120.7065,5.7,1.47,md,26,62,0.03563,0.07,nc,nc73108316,2018-11-08T21:04:03.286Z,"8km SSW of Atascadero, CA",earthquake,0.22,0.62,0.163,15,reviewed,nc,nc
2018-11-08T11:04:45.400Z,38.8378334,-122.8291702,1.97,1.84,md,25,64,0.004991,0.04,nc,nc73108311,2018-11-08T11:36:02.997Z,"9km NW of The Geysers, CA",earthquake,0.2,0.33,0.18,5,automatic,nc,nc
2018-11-08T09:52:02.780Z,37.9045,-121.9858333,12.71,1.5,md,22,73,0.05769,0.06,nc,nc73108301,2018-11-08T21:14:02.337Z,"6km SW of Clayton, CA",earthquake,0.24,0.53,0.183,19,reviewed,nc,nc
2018-11-08T09:49:03.590Z,44.7826667,-111.1475,11.96,1.32,ml,15,85,0.03217,0.12,uu,uu60303897,2018-11-08T16:00:39.840Z,"13km NNW of West Yellowstone, Montana",earthquake,0.48,0.7,0.437,3,reviewed,uu,uu
2018-11-08T09:47:04.290Z,44.7778333,-111.153,10.81,1.57,ml,20,77,0.03785,0.16,uu,uu60303892,2018-11-08T15:55:29.450Z,"13km NNW of West Yellowstone, Montana",earthquake,0.47,0.64,0.289,4,reviewed,uu,uu
2018-11-08T09:42:43.930Z,37.3555,-121.7275,1.95,1.15,md,20,52,0.03725,0.04,nc,nc73108296,2018-11-08T19:35:02.740Z,"9km E of Alum Rock, CA",earthquake,0.2,0.35,0.173,19,reviewed,nc,nc
2018-11-08T09:34:09.660Z,36.2403333,-89.467,5.93,1.71,md,17,56,0.03885,0.03,nm,nm60218077,2018-11-08T13:36:59.550Z,"3km SE of Ridgely, Tennessee",earthquake,0.25,0.66,0.075,12,reviewed,nm,nm
2018-11-08T09:33:46.950Z,33.4878333,-116.7888333,5.51,1.15,ml,50,36,0.0263,0.17,ci,ci38353984,2018-11-08T14:21:55.280Z,"9km NE of Aguanga, CA",earthquake,0.17,0.56,0.136,27,reviewed,ci,ci
2018-11-08T09:17:50.970Z,45.8583333,-111.352,7.54,1.87,ml,16,110,0.308,0.13,mb,mb80322509,2018-11-08T19:05:50.900Z,"1km W of Manhattan, Montana",earthquake,0.34,1.55,0.097,7,reviewed,mb,mb
2018-11-08T09:09:17.655Z,62.2752,-149.3397,34.3,1.9,ml,,,,0.61,ak,ak20335473,2018-11-08T09:12:31.883Z,"29km ENE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T09:02:48.300Z,-15.2742,-173.305,18.53,5,mb,,61,2.007,0.95,us,us1000hp6t,2018-11-08T09:22:05.040Z,"88km NNE of Hihifo, Tonga",earthquake,9.2,4.6,0.039,205,reviewed,us,us
2018-11-08T08:45:50.960Z,45.8556667,-111.3375,4.07,1.1,ml,11,108,0.307,0.08,mb,mb80322504,2018-11-08T18:42:20.570Z,"0km WSW of Manhattan, Montana",earthquake,0.44,7.75,0.053,5,reviewed,mb,mb
2018-11-08T08:42:31.570Z,18.666,-68.7121,41,2.55,md,9,194,0.364,0.12,pr,pr2018312003,2018-11-08T12:49:30.742Z,"5km N of Salvaleon de Higuey, Dominican Republic",earthquake,12.4,2.92,0.64,5,reviewed,pr,pr
2018-11-08T08:41:10.197Z,60.8775,-147.4936,13.6,2.2,ml,,,,0.97,ak,ak20335470,2018-11-08T08:44:19.371Z,"65km E of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T08:30:16.710Z,2.3671,127.2763,31.55,4.5,mb,,152,1.587,0.42,us,us1000hp6j,2018-11-08T08:48:22.040Z,"107km NW of Tobelo, Indonesia",earthquake,4.7,6.7,0.101,29,reviewed,us,us
2018-11-08T08:29:02.225Z,63.0626,-148.5302,70.8,1.7,ml,,,,0.6,ak,ak20335381,2018-11-08T08:32:56.408Z,"42km SSE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-08T08:19:23.660Z,37.3453331,-122.1516647,7.33,1.66,md,8,121,0.0267,0.04,nc,nc73108281,2018-11-08T08:49:02.986Z,"4km SSW of Los Altos Hills, CA",earthquake,0.47,0.87,0.05,7,automatic,nc,nc
2018-11-08T08:16:13.030Z,-27.8369,-71.2439,21.43,4.7,mb,,107,0.395,0.65,us,us1000hp6b,2018-11-08T08:33:48.040Z,"94km NNW of Vallenar, Chile",earthquake,5.2,6.6,0.117,22,reviewed,us,us
2018-11-08T07:40:33.310Z,19.4291667,-155.6075,-0.99,1.92,ml,22,50,0.02299,0.14,hv,hv70678861,2018-11-08T19:34:55.670Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.41,0.157,16,reviewed,hv,hv
2018-11-08T07:35:15.610Z,19.4315,-155.6101667,-0.78,2.6,ml,33,45,0.0214,0.13,hv,hv70678851,2018-11-08T18:22:47.310Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.36,0.13,43,reviewed,hv,hv
2018-11-08T07:17:52.390Z,44.4006667,-112.838,8.48,1.53,ml,14,146,0.102,0.08,mb,mb80322494,2018-11-08T19:00:06.490Z,"32km SW of Lima, Montana",earthquake,0.55,0.44,0.068,9,reviewed,mb,mb
2018-11-08T07:17:40.098Z,39.7822,-120.641,6.4,1.1,ml,7,238.25,0.157,0.198,nn,nn00664712,2018-11-08T16:00:11.638Z,"15km WSW of Portola, California",earthquake,,6.8,0.09,3,reviewed,nn,nn
2018-11-08T07:03:43.460Z,48.5916666666667,-123.088666666667,12.17,1.09,ml,13,70,,0.23,uw,uw61503077,2018-11-08T17:00:57.140Z,"8km NW of Friday Harbor, Washington",earthquake,0.5,1.26,0.203116185387067,7,reviewed,uw,uw
2018-11-08T06:55:57.690Z,33.4758333,-116.7905,3.78,0.97,ml,56,33,0.03736,0.2,ci,ci38353864,2018-11-08T16:22:25.010Z,"8km ENE of Aguanga, CA",earthquake,0.17,0.39,0.128,21,reviewed,ci,ci
2018-11-08T06:50:27.570Z,33.4985,-116.8048333,2.25,0.99,ml,43,46,0.01433,0.18,ci,ci38353856,2018-11-08T14:24:05.420Z,"8km NE of Aguanga, CA",earthquake,0.18,0.3,0.107,27,reviewed,ci,ci
2018-11-08T06:49:42.304Z,58.2548,-155.1634,1.3,1.2,ml,,,,0.33,ak,ak20335371,2018-11-08T21:34:18.640Z,"101km ESE of King Salmon, Alaska",earthquake,,2.2,,,automatic,ak,ak
2018-11-08T06:09:17.083Z,38.3799,-118.9069,8.2,1.1,ml,14,66.17,0.135,0.203,nn,nn00664708,2018-11-08T15:07:57.925Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.6,0.14,3,reviewed,nn,nn
2018-11-08T06:08:10.632Z,66.0685,-150.9899,15.2,1.9,ml,,,,0.81,ak,ak20335364,2018-11-08T06:12:45.022Z,"91km SE of New Allakaket, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T06:04:03.570Z,53.925,-166.5896667,8.39,1.01,ml,14,132,0.09453,0.22,av,av70810429,2018-11-08T21:52:51.110Z,"5km NW of Dutch Harbor, Alaska",earthquake,0.7,1.14,0.265,14,reviewed,av,av
2018-11-08T04:49:01.044Z,63.0691,-150.8893,120.5,3.9,ml,,,,0.42,ak,ak20335343,2018-11-08T16:41:30.738Z,"91km NNW of Talkeetna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-08T04:39:36.900Z,19.3343333,-155.1311667,5.45,2.16,ml,33,118,0.04826,0.1,hv,hv70678651,2018-11-08T19:44:14.130Z,"15km SE of Volcano, Hawaii",earthquake,0.35,0.78,0.193,30,reviewed,hv,hv
2018-11-08T04:35:44.307Z,61.4067,-146.2127,25.3,2.1,ml,,,,0.9,ak,ak20335341,2018-11-08T04:40:28.659Z,"31km NNE of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T04:32:17.880Z,47.2398333,-113.1848333,13.26,1.45,ml,20,154,0.21,0.13,mb,mb80322479,2018-11-08T18:52:00.710Z,"23km ENE of Seeley Lake, Montana",earthquake,0.51,0.37,0.277,4,reviewed,mb,mb
2018-11-08T04:30:10.870Z,36.6906667,-121.3225,2.5,1.19,md,20,112,0.07989,0.02,nc,nc73108266,2018-11-08T21:13:02.332Z,"11km S of Tres Pinos, CA",earthquake,0.23,1.65,0.276,18,reviewed,nc,nc
2018-11-08T03:55:37.490Z,38.8364983,-122.8268356,0.65,1.19,md,16,83,0.007072,0.05,nc,nc73108261,2018-11-08T06:03:03.007Z,"9km NW of The Geysers, CA",earthquake,0.23,0.44,0.17,4,automatic,nc,nc
2018-11-08T03:25:53.970Z,19.4466667,-154.8778333,6.31,2.34,ml,15,196,0.03937,0.1,hv,hv70678561,2018-11-08T18:49:48.000Z,"4km ESE of Leilani Estates, Hawaii",earthquake,0.58,0.97,0.159,32,reviewed,hv,hv
2018-11-08T03:17:14.391Z,68.1178,-144.5038,1.1,2,ml,,,,1.41,ak,ak20335338,2018-11-08T03:29:17.449Z,"43km E of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T03:11:16.890Z,33.976,-116.7356667,14.04,0.98,ml,52,70,0.074,0.16,ci,ci38353760,2018-11-08T15:15:05.024Z,"8km NE of Cabazon, CA",earthquake,0.19,0.36,0.163,27,reviewed,ci,ci
2018-11-08T02:48:20.370Z,18.0166,-67.1701,6,2.02,md,5,275,0.0614,0.15,pr,pr2018312001,2018-11-08T05:20:26.734Z,"1km S of Boqueron, Puerto Rico",earthquake,1.06,0.38,0.17,5,reviewed,pr,pr
2018-11-08T02:39:42.078Z,57.5325,-154.596,57.5,1.5,ml,,,,0.17,ak,ak20335255,2018-11-08T18:46:29.862Z,"36km W of Larsen Bay, Alaska",earthquake,,2.3,,,reviewed,ak,ak
2018-11-08T02:27:03.310Z,45.8606667,-111.3543333,3.12,1.83,ml,23,73,0.306,0.16,mb,mb80322469,2018-11-08T04:26:50.620Z,"1km WNW of Manhattan, Montana",earthquake,0.36,4.26,0.035,7,reviewed,mb,mb
2018-11-08T02:25:14.140Z,37.794,-121.6233333,9.8,1.36,md,19,91,0.02768,0.15,nc,nc73108241,2018-11-08T20:42:03.155Z,"7km W of Mountain House, CA",earthquake,0.35,0.83,0.147,17,reviewed,nc,nc
2018-11-08T02:17:55.652Z,61.7841,-149.1564,40.9,1.1,ml,,,,0.35,ak,ak20335254,2018-11-08T18:43:02.208Z,"6km NE of Fishhook, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-11-08T02:15:13.340Z,42.254,141.3449,104.22,4.4,mb,,86,1.369,0.38,us,us1000hp4u,2018-11-08T02:43:18.040Z,"30km ESE of Muroran, Japan",earthquake,6.5,8.9,0.1,29,reviewed,us,us
2018-11-08T02:09:53.223Z,61.3953,-147.1718,11.6,1.8,ml,,,,0.49,ak,ak20335251,2018-11-08T02:13:43.410Z,"53km NW of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-08T02:08:30.340Z,19.211834,-155.4086609,31.7,1.8,md,34,162,0.02763,0.12,hv,hv70678486,2018-11-08T02:11:49.100Z,"7km E of Pahala, Hawaii",earthquake,0.59,0.72,0.1,4,automatic,hv,hv
2018-11-08T01:58:35.180Z,37.7951667,-121.6116667,15.61,2.78,md,87,37,0.03257,0.14,nc,nc73108236,2018-11-08T19:14:14.714Z,"6km WNW of Mountain House, CA",earthquake,0.17,0.26,0.127,77,reviewed,nc,nc
2018-11-08T01:50:28.440Z,19.2236667,-155.4116667,31.6,1.69,md,42,144,0.0192,0.11,hv,hv70678461,2018-11-08T02:31:49.720Z,"7km ENE of Pahala, Hawaii",earthquake,0.51,0.75,0.055,18,reviewed,hv,hv
2018-11-08T01:49:22.740Z,18.0088,-67.1811,6,2.37,md,18,217,0.0715,0.16,pr,pr2018312000,2018-11-08T03:24:23.343Z,"2km SSW of Boqueron, Puerto Rico",earthquake,0.61,0.35,0.38,17,reviewed,pr,pr
2018-11-08T01:48:01.745Z,63.1219,-150.3955,94.3,1.7,ml,,,,0.33,ak,ak20335052,2018-11-08T01:53:02.903Z,"78km WSW of Cantwell, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-11-08T01:18:39.030Z,-21.0225,-178.4135,549.4,4.9,mb,,95,4.664,0.71,us,us1000hp3t,2018-11-08T01:29:36.040Z,"50km SE of Ndoi Island, Fiji",earthquake,13.4,13.3,0.145,15,reviewed,us,us
2018-11-08T01:09:39.499Z,60.7105,-150.2046,39.7,1.9,ml,,,,0.48,ak,ak20334952,2018-11-08T01:16:36.970Z,"36km ENE of Sterling, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-08T01:06:35.760Z,17.886,-66.946,14,1.96,md,7,244,0.1114,0.06,pr,pr2018312002,2018-11-08T05:21:28.686Z,"10km SSW of Guanica, Puerto Rico",earthquake,0.8,0.64,0.45,7,reviewed,pr,pr
2018-11-08T01:06:01.198Z,62.4152,-149.504,43.6,2.3,ml,,,,0.57,ak,ak20334946,2018-11-08T01:11:00.951Z,"32km ENE of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
